KO	Function Category Level 4	Gene Count
K02105	CTNNB1; catenin (cadherin-associated protein), beta 1	0
K09389	E2F2; E2F transcription factor 2	0
K09048	CREB3; cAMP response element-binding protein 3	0
K04503	CCND1; cyclin D1	0
K04526	INS; insulin	0
K01351	KLK3; semenogelase [EC:3.4.21.77]	0
K09047	CREB5, CREBPA; cAMP response element-binding protein 5	0
K04467	IKBKA, IKKA, CHUK; inhibitor of nuclear factor kappa-B kinase subunit alpha [EC:2.7.11.10]	0
K04734	NFKBIA; NF-kappa-B inhibitor alpha	0
K06625	CDKN1A, P21, CIP1; cyclin-dependent kinase inhibitor 1A	0
K00922	PIK3C; phosphatidylinositol-4,5-bisphosphate 3-kinase [EC:2.7.1.153]	0
K08845	ARAF, ARAF1; A-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K06624	CDKN1B, P27, KIP1; cyclin-dependent kinase inhibitor 1B	0
K04368	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	0
K02206	CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22]	0
K07827	KRAS, KRAS2; GTPase KRas	0
K05086	INSRR; insulin receptor-related receptor [EC:2.7.10.1]	0
K04079	htpG, HSP90A; molecular chaperone HtpG	0
K07209	IKBKB, IKKB; inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10]	0
K05450	PDGFC_D; platelet derived growth factor C/D	0
K05089	PDGFRB; platelet-derived growth factor receptor beta [EC:2.7.10.1]	0
K09348	NKX3-1; homeobox protein Nkx-3.1	0
K06643	MDM2; transformed 3T3 cell double minute 2, p53-binding protein [EC:6.3.2.19]	0
K07201	FOXO1; forkhead box protein O1	0
K05459	IGF1; insulin-like growth factor 1	0
K05087	IGF1R; insulin-like growth factor 1 receptor [EC:2.7.10.1]	0
K05870	CREB1; cAMP response element-binding protein 1	0
K05083	ERBB2, HER2; receptor tyrosine-protein kinase erbB-2 [EC:2.7.10.1]	0
K06276	PDPK1; 3-phosphoinositide dependent protein kinase-1 [EC:2.7.11.1]	0
K04456	AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1]	0
K02833	HRAS; GTPase HRas	0
K07828	NRAS; GTPase NRas	0
K04451	TP53, P53; tumor protein p53	0
K02161	BCL2; apoptosis regulator BCL-2	0
K04362	FGFR1; fibroblast growth factor receptor 1 [EC:2.7.10.1]	0
K04363	PDGFRA; platelet-derived growth factor receptor alpha [EC:2.7.10.1]	0
K04492	LEF1; lymphoid enhancer-binding factor 1	0
K04361	EGFR, ERBB1; epidermal growth factor receptor [EC:2.7.10.1]	0
K04366	RAF1; RAF proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K06620	E2F1_3; E2F transcription factor 1/3	0
K04364	GRB2; growth factor receptor-binding protein 2	0
K04365	BRAF; B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K04515	CAMK2; calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]	0
K07203	FRAP; FKBP12-rapamycin complex-associated protein	0
K02677	CPKC; classical protein kinase C [EC:2.7.11.13]	0
K01110	E3.1.3.67, PTEN; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase [EC:3.1.3.67]	0
K04456	AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1]	0
K02091	CDK6; cyclin-dependent kinase 6 [EC:2.7.11.22]	0
K06279	SHC; src homology 2 domain-containing transforming protein C	0
K04357	EGF; epidermal growth factor	0
K04359	PDGFA_B; platelet derived growth factor A/B	0
K08774	TGFA; transforming growth factor, alpha	0
K06618	RB1; retinoblastoma-associated protein	0
K04369	MAP2K2, MEK2; mitogen-activated protein kinase kinase 2 [EC:2.7.12.2]	0
K04371	ERK1_2; extracellular signal-regulated kinase 1/2 [EC:2.7.11.24]	0
K02649	PIK3R; phosphoinositide-3-kinase, regulatory subunit	0
K02183	CALM; calmodulin	0
K09389	E2F2; E2F transcription factor 2	0
K03099	SOS; son of sevenless	0
K04503	CCND1; cyclin D1	0
K08845	ARAF, ARAF1; A-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K00922	PIK3C; phosphatidylinositol-4,5-bisphosphate 3-kinase [EC:2.7.1.153]	0
K02089	CDK4; cyclin-dependent kinase 4 [EC:2.7.11.22]	0
K05859	PLCG; phospholipase C, gamma [EC:3.1.4.11]	0
K04361	EGFR, ERBB1; epidermal growth factor receptor [EC:2.7.10.1]	0
K05089	PDGFRB; platelet-derived growth factor receptor beta [EC:2.7.10.1]	0
K06643	MDM2; transformed 3T3 cell double minute 2, p53-binding protein [EC:6.3.2.19]	0
K06621	CDKN2A, P16, INK4A; cyclin-dependent kinase inhibitor 2A	0
K05459	IGF1; insulin-like growth factor 1	0
K05087	IGF1R; insulin-like growth factor 1 receptor [EC:2.7.10.1]	0
K04368	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	0
K02833	HRAS; GTPase HRas	0
K07828	NRAS; GTPase NRas	0
K04451	TP53, P53; tumor protein p53	0
K06625	CDKN1A, P21, CIP1; cyclin-dependent kinase inhibitor 1A	0
K04363	PDGFRA; platelet-derived growth factor receptor alpha [EC:2.7.10.1]	0
K07827	KRAS, KRAS2; GTPase KRas	0
K04366	RAF1; RAF proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K06620	E2F1_3; E2F transcription factor 1/3	0
K04364	GRB2; growth factor receptor-binding protein 2	0
K04365	BRAF; B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K05689	CDHE, CDH1; cadherin 1, type 1, E-cadherin	0
K01110	E3.1.3.67, PTEN; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase [EC:3.1.3.67]	0
K03083	GSK3B; glycogen synthase kinase 3 beta [EC:2.7.11.26]	0
K09408	FOXO3; forkhead box protein O3	0
K02158	BAD; BCL2-antagonist of cell death	0
K02157	AXIN1; axin 1	0
K04399	CASP9; caspase 9 [EC:3.4.22.62]	0
K08734	MLH1; DNA mismatch repair protein MLH1	0
K04357	EGF; epidermal growth factor	0
K04456	AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1]	0
K02620	TCF7; transcription factor 7	0
K02833	HRAS; GTPase HRas	0
K04371	ERK1_2; extracellular signal-regulated kinase 1/2 [EC:2.7.11.24]	0
K06272	ILK; integrin-linked kinase [EC:2.7.11.1]	0
K04375	ELK1; ETS domain-containing protein Elk-1	0
K02649	PIK3R; phosphoinositide-3-kinase, regulatory subunit	0
K04451	TP53, P53; tumor protein p53	0
K02105	CTNNB1; catenin (cadherin-associated protein), beta 1	0
K03099	SOS; son of sevenless	0
K04503	CCND1; cyclin D1	0
K05691	CTNNA; catenin (cadherin-associated protein), alpha	0
K08845	ARAF, ARAF1; A-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K02085	APC; adenomatosis polyposis coli protein	0
K00922	PIK3C; phosphatidylinositol-4,5-bisphosphate 3-kinase [EC:2.7.1.153]	0
K04361	EGFR, ERBB1; epidermal growth factor receptor [EC:2.7.10.1]	0
K04385	AXIN2; axin 2	0
K05083	ERBB2, HER2; receptor tyrosine-protein kinase erbB-2 [EC:2.7.10.1]	0
K06276	PDPK1; 3-phosphoinositide dependent protein kinase-1 [EC:2.7.11.1]	0
K04368	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	0
K04369	MAP2K2, MEK2; mitogen-activated protein kinase kinase 2 [EC:2.7.12.2]	0
K07828	NRAS; GTPase NRas	0
K04377	MYC; Myc proto-oncogene protein	0
K04490	TCF7L1; transcription factor 7-like 1	0
K04491	TCF7L2; transcription factor 7-like 2	0
K04492	LEF1; lymphoid enhancer-binding factor 1	0
K07827	KRAS, KRAS2; GTPase KRas	0
K04366	RAF1; RAF proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K04364	GRB2; growth factor receptor-binding protein 2	0
K04365	BRAF; B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K04692	STAT3; signal transducer and activator of transcription 3	0
K07860	RAC2; Ras-related C3 botulinum toxin substrate 2	0
K07861	RAC3; Ras-related C3 botulinum toxin substrate 3	0
K07210	IKBKG, IKKG, NEMO; inhibitor of nuclear factor kappa-B kinase subunit gamma	0
K04735	RELA; transcription factor p65	0
K08774	TGFA; transforming growth factor, alpha	0
K04393	CDC42; cell division control protein 42	0
K04392	RAC1; Ras-related C3 botulinum toxin substrate 1	0
K02158	BAD; BCL2-antagonist of cell death	0
K13376	TGFB2; transforming growth factor beta-2	0
K04399	CASP9; caspase 9 [EC:3.4.22.62]	0
K04357	EGF; epidermal growth factor	0
K04482	RAD51; DNA repair protein RAD51	0
K08732	RALGDS; ral guanine nucleotide dissociation stimulator	0
K11220	STAT1; signal transducer and activator of transcription 1	0
K08773	RALBP1; RalA-binding protein 1	0
K08775	BRCA2, FANCD1; breast cancer 2 susceptibility protein	0
K05448	VEGFA_B; vascular endothelial growth factor A/B, PGF	0
K04456	AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1]	0
K06618	RB1; retinoblastoma-associated protein	0
K04440	JNK; c-Jun N-terminal kinase [EC:2.7.11.24]	0
K04371	ERK1_2; extracellular signal-regulated kinase 1/2 [EC:2.7.11.24]	0
K02649	PIK3R; phosphoinositide-3-kinase, regulatory subunit	0
K07834	RALA; Ras-related protein Ral-A	0
K09389	E2F2; E2F transcription factor 2	0
K04503	CCND1; cyclin D1	0
K04500	SMAD2_3; SMAD, mothers against DPP 2/3	0
K04501	SMAD4; SMAD, mothers against DPP 4	0
K05449	VEGFC_D; vascular endothelial growth factor C/D	0
K04467	IKBKA, IKKA, CHUK; inhibitor of nuclear factor kappa-B kinase subunit alpha [EC:2.7.11.10]	0
K13375	TGFB1; transforming growth factor beta-1	0
K00922	PIK3C; phosphatidylinositol-4,5-bisphosphate 3-kinase [EC:2.7.1.153]	0
K04451	TP53, P53; tumor protein p53	0
K08845	ARAF, ARAF1; A-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K11217	JAK1; Janus kinase 1 [EC:2.7.10.2]	0
K02091	CDK6; cyclin-dependent kinase 6 [EC:2.7.11.22]	0
K02089	CDK4; cyclin-dependent kinase 4 [EC:2.7.11.22]	0
K04388	TGFBR2; TGF-beta receptor type-2 [EC:2.7.11.30]	0
K07209	IKBKB, IKKB; inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10]	0
K04361	EGFR, ERBB1; epidermal growth factor receptor [EC:2.7.10.1]	0
K05729	ARHGEF6, PIXA; Rho guanine nucleotide exchange factor 6	0
K06621	CDKN2A, P16, INK4A; cyclin-dependent kinase inhibitor 2A	0
K05083	ERBB2, HER2; receptor tyrosine-protein kinase erbB-2 [EC:2.7.10.1]	0
K04674	TGFBR1; TGF-beta receptor type-1 [EC:2.7.11.30]	0
K04368	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	0
K04570	BCL2L1, bcl-xL; BCL2-like 1 (apoptosis regulator Bcl-X)	0
K07835	RALB; Ras-related protein Ral-B	0
K02580	NFKB1; nuclear factor NF-kappa-B p105 subunit	0
K13377	TGFB3; transforming growth factor beta-3	0
K07827	KRAS, KRAS2; GTPase KRas	0
K04366	RAF1; RAF proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K06620	E2F1_3; E2F transcription factor 1/3	0
K04365	BRAF; B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K04410	PAK2; p21-activated kinase 2 [EC:2.7.11.1]	0
K04438	CRK, CRKII; proto-oncogene C-crk	0
K08774	TGFA; transforming growth factor, alpha	0
K08268	HIF1A; hypoxia-inducible factor 1 alpha	0
K04393	CDC42; cell division control protein 42	0
K04392	RAC1; Ras-related C3 botulinum toxin substrate 1	0
K09594	FLCN, BHD; folliculin	0
K09592	EGLN, HPH; hypoxia-inducible factor prolyl hydroxylase [EC:1.14.11.-]	0
K09593	GAB1; GRB2-associated-binding protein 1	0
K04353	RAP1A; Ras-related protein Rap-1A	0
K05733	PAK3, MRX30; p21-activated kinase 3 [EC:2.7.11.1]	0
K05099	MET, HGFR; proto-oncogene tyrosine-protein kinase Met [EC:2.7.10.1]	0
K03868	RBX1, ROC1; RING-box protein 1	0
K05734	PAK4; p21-activated kinase 4 [EC:2.7.11.1]	0
K05735	PAK6; p21-activated kinase 6 [EC:2.7.11.1]	0
K09097	HIF1B, ARNT; hypoxia-inducible factor 1 beta	0
K09095	HIF2A, EPAS1; hypoxia-inducible factor 2 alpha	0
K05448	VEGFA_B; vascular endothelial growth factor A/B, PGF	0
K05449	VEGFC_D; vascular endothelial growth factor C/D	0
K04369	MAP2K2, MEK2; mitogen-activated protein kinase kinase 2 [EC:2.7.12.2]	0
K07299	SLC2A1, GLUT1; MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 1	0
K04371	ERK1_2; extracellular signal-regulated kinase 1/2 [EC:2.7.11.24]	0
K05460	HGF; hepatocyte growth factor	0
K04448	JUN; transcription factor AP-1	0
K07293	PTPN11; protein tyrosine phosphatase, non-receptor type 11 [EC:3.1.3.48]	0
K07836	RAP1B; Ras-related protein Rap-1B	0
K02649	PIK3R; phosphoinositide-3-kinase, regulatory subunit	0
K04368	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	0
K03099	SOS; son of sevenless	0
K04409	PAK1; p21-activated kinase 1 [EC:2.7.11.1]	0
K01679	E4.2.1.2B, fumC; fumarate hydratase, class II [EC:4.2.1.2]	0
K08845	ARAF, ARAF1; A-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K00922	PIK3C; phosphatidylinositol-4,5-bisphosphate 3-kinase [EC:2.7.1.153]	0
K05736	PAK7; p21-activated kinase 7 [EC:2.7.11.1]	0
K07827	KRAS, KRAS2; GTPase KRas	0
K03873	TCEB2; transcription elongation factor B, polypeptide 2	0
K03872	TCEB1; transcription elongation factor B, polypeptide 1	0
K03871	VHL; von Hippel-Lindau disease tumor supressor	0
K03870	CUL2; cullin 2	0
K04498	EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]	0
K06277	RAPGEF1, GRF2; Rap guanine nucleotide exchange factor (GEF) 1	0
K04456	AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1]	0
K02833	HRAS; GTPase HRas	0
K07828	NRAS; GTPase NRas	0
K13375	TGFB1; transforming growth factor beta-1	0
K13377	TGFB3; transforming growth factor beta-3	0
K13376	TGFB2; transforming growth factor beta-2	0
K04366	RAF1; RAF proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K04364	GRB2; growth factor receptor-binding protein 2	0
K04365	BRAF; B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K04513	RHOA; Ras homolog gene family, member A	0
K07860	RAC2; Ras-related C3 botulinum toxin substrate 2	0
K07861	RAC3; Ras-related C3 botulinum toxin substrate 3	0
K03083	GSK3B; glycogen synthase kinase 3 beta [EC:2.7.11.26]	0
K08738	CYC; cytochrome c	0
K04392	RAC1; Ras-related C3 botulinum toxin substrate 1	0
K02159	BAX; apoptosis regulator BAX, membrane protein (BCL2-associated)	0
K02158	BAD; BCL2-antagonist of cell death	0
K02157	AXIN1; axin 1	0
K13376	TGFB2; transforming growth factor beta-2	0
K04399	CASP9; caspase 9 [EC:3.4.22.62]	0
K08735	MSH2; DNA mismatch repair protein MSH2	0
K08734	MLH1; DNA mismatch repair protein MLH1	0
K08737	MSH6; DNA mismatch repair protein MSH6	0
K08736	MSH3; DNA mismatch repair protein MSH3	0
K08731	BIRC5; baculoviral IAP repeat-containing 5	0
K08733	APPL, DIP13A; DCC-interacting protein 13 alpha	0
K08732	RALGDS; ral guanine nucleotide dissociation stimulator	0
K04368	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	0
K04379	FOS; proto-oncogene protein c-fos	0
K02620	TCF7; transcription factor 7	0
K04440	JNK; c-Jun N-terminal kinase [EC:2.7.11.24]	0
K04371	ERK1_2; extracellular signal-regulated kinase 1/2 [EC:2.7.11.24]	0
K04448	JUN; transcription factor AP-1	0
K02649	PIK3R; phosphoinositide-3-kinase, regulatory subunit	0
K04451	TP53, P53; tumor protein p53	0
K02105	CTNNB1; catenin (cadherin-associated protein), beta 1	0
K04503	CCND1; cyclin D1	0
K04500	SMAD2_3; SMAD, mothers against DPP 2/3	0
K04501	SMAD4; SMAD, mothers against DPP 4	0
K08845	ARAF, ARAF1; A-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K02085	APC; adenomatosis polyposis coli protein	0
K13375	TGFB1; transforming growth factor beta-1	0
K00922	PIK3C; phosphatidylinositol-4,5-bisphosphate 3-kinase [EC:2.7.1.153]	0
K02161	BCL2; apoptosis regulator BCL-2	0
K13377	TGFB3; transforming growth factor beta-3	0
K04388	TGFBR2; TGF-beta receptor type-2 [EC:2.7.11.30]	0
K02187	CASP3; caspase 3 [EC:3.4.22.56]	0
K04674	TGFBR1; TGF-beta receptor type-1 [EC:2.7.11.30]	0
K06765	DCC; deleted in colorectal carcinoma	0
K04385	AXIN2; axin 2	0
K04456	AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1]	0
K04377	MYC; Myc proto-oncogene protein	0
K04490	TCF7L1; transcription factor 7-like 1	0
K04491	TCF7L2; transcription factor 7-like 2	0
K04492	LEF1; lymphoid enhancer-binding factor 1	0
K07827	KRAS, KRAS2; GTPase KRas	0
K04366	RAF1; RAF proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K04365	BRAF; B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K04390	TNFRSF6, FAS; tumor necrosis factor receptor superfamily member 6	0
K03161	TNFSF5, CD40L; tumor necrosis factor ligand superfamily member 5	0
K03160	TNFRSF5, CD40; tumor necrosis factor receptor superfamily member 5	0
K08522	CGA; glycoprotein hormones, alpha polypeptide	0
K06751	MHC1; major histocompatibility complex, class I	0
K06752	MHC2; major histocompatibility complex, class II	0
K05443	IL10, CSIF; interleukin 10	0
K06538	CTLA4, CD152; cytotoxic T-lymphocyte-associated protein 4	0
K07818	PRF1; perforin 1	0
K05428	IL5; interleukin 5	0
K05429	IL2; interleukin 2	0
K06856	IGH; immunoglobulin heavy chain	0
K05251	TSHB; thyroid stimulating hormone, beta	0
K01353	GZMB; granzyme B [EC:3.4.21.79]	0
K06470	CD28; CD28 antigen	0
K04389	TNFSF6, FASL; tumor necrosis factor ligand superfamily member 6	0
K05414	IFNA; interferon alpha	0
K10785	TRBV; T-cell receptor beta chain V region	0
K10784	TRAV; T cell receptor alpha chain V region	0
K04249	TSHR; thyroid stimulating hormone receptor	0
K05430	IL4; interleukin 4	0
K10809	TG; thyroglobulin	0
K00431	TPO; thyroid peroxidase [EC:1.11.1.8]	0
K05413	CD86; CD86 antigen	0
K05412	CD80; CD80 antigen	0
K05689	CDHE, CDH1; cadherin 1, type 1, E-cadherin	0
K01403	MMP9; matrix metalloproteinase-9 (gelatinase B) [EC:3.4.24.35]	0
K01388	MMP1; matrix metalloproteinase-1 (interstitial collagenase) [EC:3.4.24.7]	0
K10030	IL8, CXCL8; interleukin 8	0
K04357	EGF; epidermal growth factor	0
K05448	VEGFA_B; vascular endothelial growth factor A/B, PGF	0
K05449	VEGFC_D; vascular endothelial growth factor C/D	0
K05094	FGFR3; fibroblast growth factor receptor 3 [EC:2.7.10.1]	0
K06618	RB1; retinoblastoma-associated protein	0
K02833	HRAS; GTPase HRas	0
K04371	ERK1_2; extracellular signal-regulated kinase 1/2 [EC:2.7.11.24]	0
K04377	MYC; Myc proto-oncogene protein	0
K09389	E2F2; E2F transcription factor 2	0
K08803	DAPK; death-associated protein kinase [EC:2.7.11.1]	0
K04503	CCND1; cyclin D1	0
K01398	MMP2; matrix metalloproteinase-2 (gelatinase A) [EC:3.4.24.24]	0
K08845	ARAF, ARAF1; A-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K04361	EGFR, ERBB1; epidermal growth factor receptor [EC:2.7.10.1]	0
K00758	E2.4.2.4, deoA; thymidine phosphorylase [EC:2.4.2.4]	0
K02089	CDK4; cyclin-dependent kinase 4 [EC:2.7.11.22]	0
K09850	RASSF1; Ras association domain-containing protein 1	0
K06643	MDM2; transformed 3T3 cell double minute 2, p53-binding protein [EC:6.3.2.19]	0
K04366	RAF1; RAF proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K05083	ERBB2, HER2; receptor tyrosine-protein kinase erbB-2 [EC:2.7.10.1]	0
K04368	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	0
K04369	MAP2K2, MEK2; mitogen-activated protein kinase kinase 2 [EC:2.7.12.2]	0
K07828	NRAS; GTPase NRas	0
K04451	TP53, P53; tumor protein p53	0
K06625	CDKN1A, P21, CIP1; cyclin-dependent kinase inhibitor 1A	0
K07827	KRAS, KRAS2; GTPase KRas	0
K06621	CDKN2A, P16, INK4A; cyclin-dependent kinase inhibitor 2A	0
K06620	E2F1_3; E2F transcription factor 1/3	0
K04365	BRAF; B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K05689	CDHE, CDH1; cadherin 1, type 1, E-cadherin	0
K01110	E3.1.3.67, PTEN; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase [EC:3.1.3.67]	0
K02091	CDK6; cyclin-dependent kinase 6 [EC:2.7.11.22]	0
K02158	BAD; BCL2-antagonist of cell death	0
K05099	MET, HGFR; proto-oncogene tyrosine-protein kinase Met [EC:2.7.10.1]	0
K04357	EGF; epidermal growth factor	0
K04359	PDGFA_B; platelet derived growth factor A/B	0
K04358	FGF; fibroblast growth factor	0
K04456	AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1]	0
K06618	RB1; retinoblastoma-associated protein	0
K04369	MAP2K2, MEK2; mitogen-activated protein kinase kinase 2 [EC:2.7.12.2]	0
K04371	ERK1_2; extracellular signal-regulated kinase 1/2 [EC:2.7.11.24]	0
K05460	HGF; hepatocyte growth factor	0
K02649	PIK3R; phosphoinositide-3-kinase, regulatory subunit	0
K09389	E2F2; E2F transcription factor 2	0
K04503	CCND1; cyclin D1	0
K08845	ARAF, ARAF1; A-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K06625	CDKN1A, P21, CIP1; cyclin-dependent kinase inhibitor 1A	0
K00922	PIK3C; phosphatidylinositol-4,5-bisphosphate 3-kinase [EC:2.7.1.153]	0
K07827	KRAS, KRAS2; GTPase KRas	0
K02089	CDK4; cyclin-dependent kinase 4 [EC:2.7.11.22]	0
K05450	PDGFC_D; platelet derived growth factor C/D	0
K05089	PDGFRB; platelet-derived growth factor receptor beta [EC:2.7.10.1]	0
K06643	MDM2; transformed 3T3 cell double minute 2, p53-binding protein [EC:6.3.2.19]	0
K06621	CDKN2A, P16, INK4A; cyclin-dependent kinase inhibitor 2A	0
K05459	IGF1; insulin-like growth factor 1	0
K05087	IGF1R; insulin-like growth factor 1 receptor [EC:2.7.10.1]	0
K09455	MITF; microphthalmia-associated transcription factor	0
K04368	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	0
K02833	HRAS; GTPase HRas	0
K07828	NRAS; GTPase NRas	0
K04451	TP53, P53; tumor protein p53	0
K04362	FGFR1; fibroblast growth factor receptor 1 [EC:2.7.10.1]	0
K04363	PDGFRA; platelet-derived growth factor receptor alpha [EC:2.7.10.1]	0
K04361	EGFR, ERBB1; epidermal growth factor receptor [EC:2.7.10.1]	0
K04366	RAF1; RAF proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K06620	E2F1_3; E2F transcription factor 1/3	0
K04365	BRAF; B-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]	0
K00182	WNT2; wingless-type MMTV integration site family, member 2	0
K11101	PTCH2; patched 2	0
K02375	FZD5_8, fz2; frizzled 5/8	0
K01384	WNT11; wingless-type MMTV integration site family, member 11	0
K03209	WNT1; wingless-type MMTV integration site family, member 1	0
K02235	FZD2; frizzled 2	0
K02157	AXIN1; axin 1	0
K02353	DVL; dishevelled	0
K02354	FZD4, fz4; frizzled 4	0
K02376	FZD6; frizzled 6	0
K02620	TCF7; transcription factor 7	0
K03083	GSK3B; glycogen synthase kinase 3 beta [EC:2.7.11.26]	0
K00312	WNT3; wingless-type MMTV integration site family, member 3	0
K00408	WNT4; wingless-type MMTV integration site family, member 4	0
K06229	SUFU; suppressor of fused	0
K06228	FU; fused [EC:2.7.11.1]	0
K02432	FZD1_7, fz; frizzled 1/7	0
K00445	WNT6; wingless-type MMTV integration site family, member 6	0
K00444	WNT5; wingless-type MMTV integration site family, member 5	0
K11988	SHH; sonic hedgehog	0
K06227	COS2; costal 2	0
K06226	SMO; smoothened	0
K02105	CTNNB1; catenin (cadherin-associated protein), beta 1	0
K01064	WNT9; wingless-type MMTV integration site family, member 9	0
K01357	WNT10; wingless-type MMTV integration site family, member 10	0
K02085	APC; adenomatosis polyposis coli protein	0
K00714	WNT8; wingless-type MMTV integration site family, member 8	0
K02329	FZD3; frizzled 3	0
K01558	WNT16; wingless-type MMTV integration site family, member 16	0
K02842	FZD9_10; frizzled 9/10	0
K04492	LEF1; lymphoid enhancer-binding factor 1	0
K06225	PTCH1; patched 1	0
K04385	AXIN2; axin 2	0
K04451	TP53, P53; tumor protein p53	0
K04662	BMP2_4; bone morphogenetic protein 2/4	0
K04490	TCF7L1; transcription factor 7-like 1	0
K04491	TCF7L2; transcription factor 7-like 2	0
K06230	GLI; zinc finger protein GLI	0
K06231	HHIP; hedgehog interacting protein	0
K00572	WNT7; wingless-type MMTV integration site family, member 7	0
K02256	COX1; cytochrome c oxidase subunit I [EC:1.9.3.1]	0
K05688	PINK1; PTEN induced putative kinase 1 [EC:2.7.11.1]	0
K03949	NDUFA5; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 5 [EC:1.6.5.3 1.6.99.3]	0
K03948	NDUFA4; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4 [EC:1.6.5.3 1.6.99.3]	0
K03943	NDUFV2; NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:1.6.5.3 1.6.99.3]	0
K03942	NDUFV1; NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:1.6.5.3 1.6.99.3]	0
K03941	NDUFS8; NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:1.6.5.3 1.6.99.3]	0
K03940	NDUFS7; NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:1.6.5.3 1.6.99.3]	0
K03947	NDUFA3; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 3 [EC:1.6.5.3 1.6.99.3]	0
K03946	NDUFA2; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 2 [EC:1.6.5.3 1.6.99.3]	0
K03945	NDUFA1; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 1 [EC:1.6.5.3 1.6.99.3]	0
K03944	NDUFV3; NADH dehydrogenase (ubiquinone) flavoprotein 3 [EC:1.6.5.3 1.6.99.3]	0
K00501	TH; tyrosine 3-monooxygenase [EC:1.14.16.2]	0
K03879	ND2; NADH dehydrogenase I subunit 2 [EC:1.6.5.3]	0
K08844	LRRK2; leucine-rich repeat kinase 2 [EC:2.7.11.1]	0
K02084	APAF1; apoptotic protease-activating factor	0
K02128	ATPeF0C, ATP5G; F-type H+-transporting ATPase subunit c [EC:3.6.3.14]	0
K03878	ND1; NADH dehydrogenase I subunit 1 [EC:1.6.5.3]	0
